種類　,出現時間,x,y,角度（向き）
1,1,1300,500,0
1,2,1300,400,0
1,3,1300,300,0
1,4,1300,400,0
1,5,1300,200,0
1,6,1300,400,0
1,7,1300,200,0
1,8,1300,500,0
1,9,1300,300,0
1,10,1300,500,0
0,17,1300,624,0
1,16,1300,400,0
1,17,1300,600,0
1,18,1300,400,0
1,19,1300,200,0
1,20,1300,400,0
0,25,1300,624,0
1,24,1300,500,0
1,25,1300,400,0
1,26,1300,500,0
0,31,1300,624,0
1,30,1300,400,0
1,31,1300,600,0
1,32,1300,400,0
1,32,1300,250,0
1,34,1300,400,0
1,36,1300,400,0
1,37,1300,500,0
1,38,1300,400,0
1,39,1300,300,0
4,38,1300,624,0
4,39,1300,624,0
1,45,1300,600,0
1,46,1300,400,0
1,47,1300,300,0
1,48,1300,500,0
6,46,1300,500,0
1,49,1300,400,0
1,50,1300,300,0
1,51,1300,500,0
4,42,1300,624,0
4,43,1300,624,0
1,51,1300,400,0
1,52,1300,300,0
1,53,1300,400,0
0,52,1300,624,0
6,54,1300,500,0
1,56,1300,400,0
1,57,1300,300,0
4,57,1300,624,0
0,59,1300,624,0
1,60,1300,400,0
1,61,1300,200,0
1,62,1300,600,0
1,62,1300,400,0
1,63,1300,200,0
1,64,1300,300,0
1,65,1300,500,0
1,66,1300,400,0
1,67,1300,500,0
0,71,1300,624,0
1,71,1300,400,0
1,72,1300,200,0
1,73,1300,500,0
1,74,1300,300,0
1,75,1300,400,0
1,76,1300,300,0
1,77,1300,500,0
1,78,1300,600,0
1,79,1300,400,0
0,83,1300,624,0
6,70,1300,400,0
6,72,1300,300,0
6,74,1300,500,0
1,40,1300,500,0
1,41,1300,300,0
1,42,1300,400,0
4,20,1300,624,0
4,25,1300,624,0
4,15,1300,624,0
0,20,1300,624,0
0,35,1300,624,0
4,40,1300,624,0
4,44,1300,624,0
4,45,1300,624,0
4,46,1300,624,0
4,50,1300,624,0
4,60,1300,624,0
4,65,1300,624,0
4,70,1300,624,0
4,50,1300,624,0
4,51,1300,624,0
4,52,1300,624,0
4,53,1300,624,0
4,54,1300,624,0
4,55,1300,624,0
4,57,1300,624,0
4,58,1300,624,0
4,59,1300,624,0
4,61,1300,624,0
